ID,teamName,year,avgPPD,oppTO,penalties,TO,wins,roundedTO,roundedPPD,roundedOppTO,roundedPenalties,playoffs
243,dal,2012,1.92,16,117,29,8,30,2,15,120,NO
248,det,2012,1.87,17,103,33,4,35,2,15,105,NO
236,jax,2012,1.28,23,101,26,2,25,1.5,25,105,NO
240,kan,2012,1.09,13,92,37,2,35,1,15,90,NO
226,mia,2012,1.42,16,82,26,7,25,1.5,15,75,NO
251,nor,2012,2.24,26,104,24,7,25,2,25,105,NO
242,nyg,2012,2.31,35,72,21,9,20,2.5,35,75,NO
227,nyj,2012,1.26,23,83,37,6,35,1.5,25,90,NO
235,oti,2012,1.4,24,106,28,6,30,1.5,25,105,NO
244,phi,2012,1.51,13,98,37,4,35,1.5,15,105,NO
231,pit,2012,1.77,20,92,30,8,30,2,20,90,NO
239,rai,2012,1.54,19,108,26,4,25,1.5,20,105,NO
255,ram,2012,1.42,21,130,22,7,20,1.5,20,135,NO
238,sdg,2012,1.58,28,103,26,7,25,1.5,30,105,NO
252,tam,2012,1.89,26,101,23,7,25,2,25,105,NO
260,buf,2011,1.7,31,86,30,6,30,1.5,30,90,NO
283,car,2011,2.21,24,113,23,6,25,2,25,120,NO
279,chi,2011,1.44,31,104,29,8,30,1.5,30,105,NO
264,cle,2011,1.18,20,95,19,4,20,1,20,90,NO
268,clt,2011,1.2,17,76,29,2,30,1,15,75,NO
286,crd,2011,1.45,19,106,32,8,30,1.5,20,105,NO
275,dal,2011,1.96,25,114,21,8,20,2,25,120,NO
267,jax,2011,1.11,28,77,23,5,25,1,30,75,NO
272,kan,2011,1.05,26,110,28,7,30,1,25,105,NO
259,mia,2011,1.62,19,85,25,6,25,1.5,20,90,NO
280,min,2011,1.76,23,109,26,3,25,2,25,105,NO
258,nyj,2011,1.69,31,102,34,8,35,1.5,30,105,NO
266,oti,2011,1.58,23,104,22,9,20,1.5,25,105,NO
274,phi,2011,1.93,24,107,38,8,40,2,25,105,NO
271,rai,2011,1.79,26,163,30,8,30,2,25,165,NO
288,ram,2011,0.89,18,112,23,2,25,1,20,105,NO
270,sdg,2011,2.24,21,91,28,8,30,2,20,90,NO
287,sea,2011,1.44,31,138,23,7,25,1.5,30,135,NO
284,tam,2011,1.44,24,123,40,4,40,1.5,25,120,NO
276,was,2011,1.5,21,91,35,5,35,1.5,20,90,NO
292,buf,2010,1.42,22,82,39,4,40,1.5,20,75,NO
316,car,2010,0.95,29,106,37,2,35,1,30,105,NO
296,cin,2010,1.63,26,90,34,4,35,1.5,25,90,NO
295,cle,2010,1.42,28,78,29,5,30,1.5,30,75,NO
320,crd,2010,1.15,30,108,35,5,35,1,30,105,NO
307,dal,2010,1.9,30,109,30,6,30,2,30,105,NO
304,den,2010,1.69,18,98,27,4,25,1.5,20,105,NO
311,det,2010,1.73,29,136,25,6,25,1.5,30,135,NO
299,htx,2010,2.17,18,90,18,6,20,2,20,90,NO
298,jax,2010,1.95,18,83,33,8,35,2,20,90,NO
291,mia,2010,1.43,19,72,31,7,30,1.5,20,75,NO
312,min,2010,1.38,26,100,37,6,35,1.5,25,105,NO
306,nyg,2010,1.9,39,92,42,10,40,2,40,90,NO
300,oti,2010,1.8,25,128,29,6,30,2,25,135,NO
303,rai,2010,1.76,24,148,26,8,25,2,25,150,NO
318,ram,2010,1.45,26,102,21,7,20,1.5,25,105,NO
302,sdg,2010,2.24,23,84,29,9,30,2,25,90,NO
319,sfo,2010,1.42,22,112,23,6,25,1.5,20,105,NO
315,tam,2010,1.83,28,100,19,10,20,2,30,105,NO
308,was,2010,1.38,27,90,31,6,30,1.5,25,90,NO
346,atl,2009,2.02,28,78,25,9,25,2,30,75,NO
324,buf,2009,1.3,33,107,30,6,30,1.5,35,105,NO
347,car,2009,1.58,37,88,31,8,30,1.5,35,90,NO
343,chi,2009,1.57,28,100,34,7,35,1.5,30,105,NO
328,cle,2009,1.14,19,77,31,5,30,1,20,75,NO
334,den,2009,1.59,30,93,23,8,25,1.5,30,90,NO
344,det,2009,1.23,23,98,41,2,40,1,25,105,NO
330,htx,2009,1.91,27,95,28,9,30,2,25,90,NO
332,jax,2009,1.66,25,70,23,7,25,1.5,25,75,NO
336,kan,2009,1.27,28,84,27,4,25,1.5,30,90,NO
323,mia,2009,1.85,21,78,29,7,30,2,20,75,NO
339,nyg,2009,2.05,24,95,31,8,30,2,25,90,NO
331,oti,2009,1.74,27,98,31,8,30,1.5,25,105,NO
327,pit,2009,1.9,22,85,25,9,25,2,20,90,NO
335,rai,2009,1.02,20,117,33,5,35,1,20,120,NO
352,ram,2009,0.93,20,100,33,1,35,1,20,105,NO
351,sea,2009,1.35,23,95,31,5,30,1.5,25,90,NO
350,sfo,2009,1.54,33,98,24,8,25,1.5,35,105,NO
348,tam,2009,1.08,29,93,34,3,35,1,30,90,NO
340,was,2009,1.56,17,85,28,4,30,1.5,15,90,NO
356,buf,2008,1.7,22,71,30,7,30,1.5,20,75,NO
374,chi,2008,1.63,32,78,27,9,25,1.5,30,75,NO
359,cin,2008,0.99,24,75,26,4,25,1,25,75,NO
360,cle,2008,1.22,31,100,26,4,25,1,30,105,NO
371,dal,2008,1.83,22,120,33,9,35,2,20,120,NO
366,den,2008,2.13,13,77,30,8,30,2,15,75,NO
376,det,2008,1.39,20,88,29,0,30,1.5,20,90,NO
375,gnb,2008,1.98,28,110,21,6,20,2,30,105,NO
363,htx,2008,2,22,80,32,8,30,2,20,75,NO
364,jax,2008,1.63,17,104,24,5,25,1.5,15,105,NO
368,kan,2008,1.53,29,78,24,2,25,1.5,30,75,NO
380,nor,2008,2.49,22,86,26,8,25,2.5,20,90,NO
354,nwe,2008,2.31,22,57,21,11,20,2.5,20,60,NO
355,nyj,2008,2.07,30,77,31,9,30,2,30,75,NO
367,rai,2008,1.21,24,109,23,5,25,1,25,105,NO
384,ram,2008,1.19,26,97,31,2,30,1,25,90,NO
383,sea,2008,1.52,20,79,27,4,25,1.5,20,75,NO
382,sfo,2008,1.68,18,98,35,7,35,1.5,20,105,NO
379,tam,2008,1.66,30,95,26,9,25,1.5,30,90,NO
372,was,2008,1.46,18,83,18,8,20,1.5,20,90,NO
412,atl,2007,1.3,28,105,24,4,25,1.5,30,105,NO
386,buf,2007,1.2,30,78,21,7,20,1,30,75,NO
410,car,2007,1.34,30,95,29,7,30,1.5,30,90,NO
408,chi,2007,1.34,33,111,34,7,35,1.5,35,105,NO
391,cin,2007,1.95,35,90,30,7,30,2,35,90,NO
390,cle,2007,1.94,27,114,29,10,30,2,25,120,NO
414,crd,2007,1.81,29,137,36,8,35,2,30,135,NO
398,den,2007,1.68,30,90,29,7,30,1.5,30,90,NO
407,det,2007,1.65,35,100,36,7,35,1.5,35,105,NO
396,htx,2007,1.9,25,82,38,8,40,2,25,75,NO
399,kan,2007,1.12,22,101,33,4,35,1,20,105,NO
388,mia,2007,1.4,22,91,29,1,30,1.5,20,90,NO
406,min,2007,1.57,31,86,30,8,30,1.5,30,90,NO
411,nor,2007,1.88,23,68,30,7,30,2,25,75,NO
387,nyj,2007,1.37,21,63,25,4,25,1.5,20,60,NO
404,phi,2007,1.86,19,83,27,8,25,2,20,90,NO
400,rai,2007,1.39,26,120,37,4,35,1.5,25,120,NO
416,ram,2007,1.24,27,94,37,3,35,1,25,90,NO
392,rav,2007,1.34,23,107,40,5,40,1.5,25,105,NO
415,sfo,2007,1.04,22,97,34,5,35,1,20,90,NO
443,atl,2006,1.52,26,96,20,7,20,1.5,25,90,NO
419,buf,2006,1.42,24,87,29,7,30,1.5,25,90,NO
442,car,2006,1.29,22,103,27,8,25,1.5,20,105,NO
422,cin,2006,1.96,31,92,24,8,25,2,30,90,NO
424,cle,2006,1.15,27,74,42,4,40,1,25,75,NO
448,crd,2006,1.62,33,117,30,5,30,1.5,35,120,NO
431,den,2006,1.59,30,67,30,9,30,1.5,30,60,NO
440,det,2006,1.61,30,116,39,3,40,1.5,30,120,NO
438,gnb,2006,1.34,33,90,33,8,35,1.5,35,90,NO
428,htx,2006,1.46,22,90,25,6,25,1.5,20,90,NO
